Warning Type,Impact,Condition Type,,,,
Grid is slightly off axis and may cause inaccuracies.,High Impact,Equals,,,,
Line in Sketch is slightly off axis and may cause inaccuracies.,No Impact,Equals,,,,
"Elements have duplicate ""Type Mark"" values.",Low Impact,Equals,,,,
Highlighted floors overlap.,High Impact,Equals,,,,
One element is completely inside another.,High Impact,Equals,,,,
Highlighted lines overlap. Lines may not form closed loops.,No Impact,Equals,,,,
Highlighted lines overlap. Lines may not form closed loops. You can tab-select one of the overlapping elements to exclude it from the group instance.,No Impact,Equals,,,,
Highlighted walls overlap. One of them may be ignored when Revit finds room boundaries. Use Cut Geometry to embed one wall within the other or tab-select one of the grouped overlapping walls and exclude it from the group instance.,High Impact,Equals,,,,
Highlighted walls overlap. One of them may be ignored when Revit finds room boundaries. Use Cut Geometry to embed one wall within the other.,High Impact,Equals,,,,
Landing depth is less than run width.,Low Impact,Equals,,,,
Stair components are not continuously connected. This may cause incorrect representation and annotation.,High Impact,Equals,,,,
The Actual Tread Depth of stair is less than the Minimum Tread Depth specified in the stair type.,High Impact,Equals,,,,
Thickness of this Floor may be slightly inaccurate due to extreme Shape Editing. Dimensions to this element in sections and details may not accurately indicate the Thickness shown in Type Properties.,Low Impact,Equals,,,,
Wall is slightly off axis and may cause inaccuracies.,Low Impact,Equals,,,,
Ref Plane is slightly off axis and may cause inaccuracies.,Low Impact,Equals,,,,
Space is not in a properly enclosed region,High Impact,Equals,,,,
Element will be detached from its associated plane,Low Impact,Equals,,,,
No Loss Defined,Low Impact,Equals,,,,
Join failure caused by editability or design option related problem.,Low Impact,Equals,,,,
Room volumes overlap. Adjust the Upper Limit and Limit Offset properties of the Rooms.,High Impact,Equals,,,,
"Elements have duplicate ""Mark"" values.",Low Impact,Equals,,,,
Highlighted space separation lines overlap. One of them may be ignored when Revit finds space boundaries. Delete one of the lines.,Low Impact,Equals,,,,
Beam or Brace is slightly off axis and may cause inaccuracies.,Low Impact,Equals,,,,
"Highlighted walls are attached to, but miss, the highlighted targets.",Low Impact,Equals,,,,
Opening partially cuts its host.,Low Impact,Equals,,,,
A wall and a room separation line overlap. One of them may be ignored when Revit finds room boundaries. Shorten or delete the room separation line to remove the overlap.,No Impact,Equals,,,,
"Elements have duplicate ""Number"" values.",Low Impact,Equals,,,,
" network due to one or both of the following:
- There are disconnects in the system's physical network.
- Elements in the system are connected to more than one physical network.",High Impact,Contains,,,,
 to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,High Impact,Contains,,,,
 to calculate the flow since all the components in this system have the flow configuration set to Preset or System. At least one component is required to have the flow configuration set to Calculated.,High Impact,Contains,,,,
 to calculate the flow since there is inline equipment that is configured as end of line. Please check equipment in this system and make sure that the equipment connectors used inline have a global system classification and a calculated flow configuration. Global equipment connectors used inline should always be linked to each other.,High Impact,Contains,,,,
Area separation line is slightly off axis and may cause inaccuracies.,No Impact,Equals,,,,
"Multiple Spaces are in the same enclosed region.  The correct area and perimeter will be assigned to one Space and the others will display ""Redundant Space.""  You should separate the regions, delete the extra Spaces, or move them into different regions.",Low Impact,Equals,,,,
Room Tag is outside of its Room.  Enable Leader or move Room Tag within its Room.,No Impact,Equals,,,,
There are identical instances in the same place. This will result in double counting in schedules.,High Impact,Equals,,,,
Area is not in a properly enclosed region,High Impact,Equals,,,,
"Path of Travel failed to update.
Unable to find a route between the points.",No Impact,Equals,,,,
"The template applied to this panel schedule is set to display fewer space than what is needed to display the ""Max Number of Circuits"" set on the equipment.",Low Impact,Equals,,,,
Highlighted elements are joined but do not intersect.,Low Impact,Equals,,,,
Highlighted room separation lines overlap. One of them may be ignored when Revit finds room boundaries. Delete one of the lines.,Low Impact,Equals,,,,
"Stair top end exceeds or cannot reach the top elevation of the stair. Add/remove risers at the top end by control or change the stair run's ""Relative Top Height"" parameter in the properties palette.",High Impact,Equals,,,,
Space Tag is outside of its Space.  Enable Leader or move Space Tag within its Space.,No Impact,Equals,,,,
"Elements have duplicate ""Name"" values.",Low Impact,Equals,,,,
There are identical instances in the same place. This will result in double counting in schedules. You can tab-select one of the overlapping elements to exclude it from the group instance.,High Impact,Equals,,,,
One or several analytical elements have become invalid during the upgrade process. You can check the id of their physical counterparts and remodel them.,No Impact,Equals,,,,
The ramp is not long enough to reach the top constraint.  Change the slope or increase the length of the ramp.,High Impact,Equals,,,,
Fabrication straight exceeds the standard length. Use the Optimize Length command to adjust the length.,Low Impact,Equals,,,,
"Fabrication part is too large to fit on the sheet metal. Replace the part with multiple smaller parts, or notify the CAM operator.",Low Impact,Equals,,,,
Room Tag is displaying volume that can't be computed.,No Impact,Equals,,,,
The part specification is invalid.,Low Impact,Equals,,,,
The element (of type Pipes) has an open connector (at connector #2),High Impact,Equals,,,,
The element (of type Plumbing Fixtures) has an open connector,High Impact,Contains,,,,
Space volumes overlap. Adjust the Upper Limit and Limit Offset properties of the Spaces.,High Impact,Equals,,,,
The element (of type Ducts) has an open connector,High Impact,Contains,,,,
The element (of type Pipe Fittings) has an open connector,High Impact,Contains,,,,
The element (of type Pipe Accessories) has an open connector,High Impact,Contains,,,,
Some columns in Graphical Column Schedule exceed the segment's upper/lower bounds.  You can add levels or adjust the view parameters.,No Impact,Equals,,,,
Miter plane for Wall Foundation join is too far away; Bisecting plane will be used instead.,High Impact,Equals,,,,
"The rail is not continuous.  Breaks in the rail usually occur at sharply-angled transitions. To fix the problem, try:
 - Changing the transition style in the rail type properties, or
 - Modifying the railing path at the transition.",Low Impact,Equals,,,,
Thickness of this Roof may be slightly inaccurate due to extreme Shape Editing. Dimensions to this element in sections and details may not accurately indicate the Thickness shown in Type Properties.,Low Impact,Equals,,,,
You have one or more loads connected to this panel that are not displayed in the panel schedule. Add the load classification(s) to the associated template to report this information in the Loads Summary.,Low Impact,Equals,,,,
"An elevation symbol references views on more than one sheet. It will show a blank sheet reference. To show the correct references, use a separate elevation symbol for the views on each sheet.",No Impact,Equals,,,,
Geometry in imported file has extents greater than 20 miles (33km).,High Impact,Equals,,,,
The Actual Run Width of one or more runs is less than the Minimum Run Width specified in the stair type.,High Impact,Equals,,,,
The element (of type Mechanical Equipment) has an open connector,High Impact,Contains,,,,
Imported model is out of range.,High Impact,Equals,,,,
Insert conflicts with joined Wall.,High Impact,Equals,,,,
"No columns are joined to grid lines, or view parameters exclude all columns.",Low Impact,Equals,,,,
Railings are placed completely outside the host. It may change the adjustment of the railing to the host and its vertical position.,High Impact,Equals,,,,
Room is not in a properly enclosed region,Low Impact,Equals,,,,
Room separation line is slightly off axis and may cause inaccuracies.,No Impact,Equals,,,,
The Actual Riser Height of stair is greater than the Maximum Riser Height specified in the stair type.,High Impact,Equals,,,,
The element (of type Duct Fittings) has an open connector,High Impact,Contains,,,,
The element (of type Flex Pipes) has an open connector,High Impact,Contains,,,,
The element (of type Pipes) has an open connector,High Impact,Contains,,,,
Line is slightly off axis and may cause inaccuracies.,No Impact,Equals,,,,
"Multiple Rooms are in the same enclosed region.  The correct area and perimeter will be assigned to one Room and the others will display ""Redundant Room.""  You should separate the regions, delete the extra Rooms, or move them into different regions.",High Impact,Equals,,,,
"Multiple Areas are in the same enclosed region.  The correct area and perimeter will be assigned to one Area and the others will display ""Redundant Area.""  You should separate the regions, delete the extra Areas, or move them into different regions.",High Impact,Equals,,,,
"Stair bottom end exceeds or cannot reach the base elevation of the stair. Add/remove risers at the bottom end by control or change the stair run's ""Relative Base Height"" parameter in the properties palette.",High Impact,Equals,,,,
Rectangular opening doesn't cut its host.,Low Impact,Equals,,,,
The ramp is not long enough to reach the top constraint plus top offset.  Change the slope or increase the length of the ramp.,Low Impact,Equals,,,,
Curve-Based Family is slightly off axis and may cause inaccuracies.,No Impact,Equals,,,,
Top reference is below Bottom reference for one or more Balusters. These Balusters are not created.,Low Impact,Equals,,,,
A notch join can only be used when the run end tread is coplanar with the landing tread. Clear the Begin with Riser or End with Riser instance property for the run to use the notch join.,High Impact,Equals,,,,
Conditions for wall embedding are no longer satisfied.,Low Impact,Equals,,,,
"The rail is not continuous.  Breaks in the rail usually occur at sharply-angled transitions. To fix the problem, try: - Changing the transition style in the rail type properties, or - Modifying the railing path at the transition.",Low Impact,Equals,,,,
A wall and a room separation line overlap. One of them may be ignored when Revit finds room boundaries. Shorten or delete the room separation line to remove the overlap. You can tab-select one of the overlapping elements to exclude it from the group instance.,No Impact,Equals,,,,
"Some panels in this curtain system are slightly malformed.  The problem is most likely ignorable. This problem usually occurs when a panel or parts of a panel have been divided so that they are very narrow.  To better see the malformed panels, temporarily hide the mullion category and set display of lines to ""thin lines"" (using the command on the view menu).",No Impact,Equals,,,,
"Room is not placed. Physical properties such as area will display as ""Not Placed"" in schedules. You can place the Room using the option bar in the Room tool, or you can delete the Room in a schedule.",Low Impact,Contains,,,,
Space separation line is slightly off axis and may cause inaccuracies.,No Impact,Equals,,,,
Analytical Top Projection Plane is partially or completely below Analytical Bottom Projection Plane. Please reset top and/or bottom planes to valid values.,High Impact,Equals,,,,
The analytical model for the structural element cannot be created by the auto-detect method. Adjust the analytical element or change the tolerance of the analytical model settings if the model is needed.,Low Impact,Equals,,,,
"Design Option ""Main Model"" cannot reference Design Option ""Option Set 1 : Column Option 2"".",High Impact,Equals,,,,
Element is slightly off axis and may cause inaccuracies.,Low Impact,Equals,,,,
Unable to trim slanted column end geometry to desired condition.,Low Impact,Equals,,,,
Can't make the expected join because of editability and design option restrictions.,Low Impact,Equals,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
